,,,,,,,,,,,,,,
IP NVR,,8CH,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
NVR7209-IQ,,9Ch 1HDD IA NVR CYGNUS ,CYGNUS,"175,00","220,00","256,00",21,86,7,0,0,0,1,94
NVR6108-IVS,,NVR 8 ch 1 HDD 8 Mpx 64 m,CYGNUS,"39,00","46,00","56,00",21,65,6,0,0,0,2,73
NVR1108HS-W-S2,,NVR 8CH WiFi OUTLET,IMOU,"65,00","65,00","65,00",21,3,0,1,4,0,0,8
,,,,,,,,,,,,,,
IP NVR,,128CH,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CY-NVR716-128-IVS,,NVR 128Ch 16Hdd H.265 4K ,CYGNUS,"5158,22","6712,38","8023,09",21,1,0,0,0,0,0,1
NVR-516-128,,NVR 132Ch 16HDD OUTLET,UNIVIEW,"450,00","450,00","450,00",21,0,0,0,0,0,0,0
IVSS7024DR-8I,,NVR 256Ch 24Hdd AI Face R,DAHUA,"7700,00","7700,00","17300,00",21,1,0,0,0,0,0,1
,,,,,,,,,,,,,,
IP NVR,,4CH,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
NVR6104-IVS,,NVR 4ch 1 HDD H265,CYGNUS,"19,00","25,00","29,00",21,59,13,0,1,0,0,73
NVR1104HS-W-S2,,NVR 4Ch WiFi OUTLET,IMOU,"45,00","45,00","45,00",21,74,0,0,4,0,3,81
,,,,,,,,,,,,,,
IP NVR,,POE,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
SM-NVR3109-4P,,NVR 4K - 9Ch - 4PoE Smart,SMARTPIXEL,"45,20","54,20","63,00",21,197,7,2,4,0,9,219
,,,,,,,,,,,,,,
IP NVR,,64CH,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CY-NVR716-64-AI,,NVR 64Ch 16Hdd AI,CYGNUS,"3233,11","4207,26","5028,80",21,1,0,0,0,0,0,1
CY-NVR7864-AI,,NVR 64Ch 8HDD AI,CYGNUS,"1310,40","1706,14","2047,36",21,2,2,0,0,0,0,4
CY-NVR7864R-AI,,NVR 64Ch 8HDD AI,CYGNUS,"575,00","690,00","795,00",21,0,0,0,0,0,0,0
NVR7864R-IQ,,NVR 64CH 8HDD RAID ,CYGNUS,"1265,00","1410,00","1650,00",21,7,0,0,0,0,0,7
