,,,,,,,,,,,,,,
XVR,,32CH,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CY-XVR7232-I,,32-36Ch XVR 2HDD CYGNUS,CYGNUS,"298,00","370,00","430,00",21,73,14,0,0,0,1,88
,,,,,,,,,,,,,,
XVR,,HIK 32CH,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
IDS-7232HQHI-M2-XT,,32ch 1080P 1U AcuSense,HIKVISION,"470,00","758,00","940,00",21,18,0,0,0,0,1,19
iDS-7232HQHI-M2-S-E,,32ch 1080p AcuSense DVR ,HIKVISION,"450,00","726,00","901,00",21,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
XVR,,4CH,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CY-XVR7104-I,,4-6Ch XVR1HDD CYGNUS ,CYGNUS,"65,00","83,00","95,00",21,147,38,0,0,0,2,187
iDS-7204HUHI-M1-XT,,4Ch 5MP AcuSense 1HDD,HIKVISION,"144,00","232,00","287,00",21,7,0,0,0,0,2,9
