,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
IPC-HFW5842HP-ZHE-2712F-DC12AC24V-ATC-S3,,8MP Vari-f Bullet WizMind,DAHUA,"333,02","333,02","333,02",21,16,0,0,0,0,0,16
IPC-HFW2831SP-S-0280B-S2,,Bullet IP 4K / 8Mpx Starl,DAHUA,"82,60","82,60","82,60",21,0,0,0,0,0,1,1
IPC-HFW2831TP-ZAS-27135-S2,,Bullet IP 4K / 8Mpx Starl,DAHUA,"135,70","135,70","135,70",21,1,0,0,0,0,4,5
IPC-8M-FUZI-A,,IPC 2.8-12mm 8 mpx IR 40m,CYGNUS,"198,38","257,89","296,58",21,0,6,0,0,0,0,6
IPC-2328SBR5-DPZ,,IPC 8MP 2.8-12mm OUTLET,UNIVIEW,"58,00","58,00","58,00",21,0,0,0,0,0,0,0
IPC-3638SR3-DPZ,,IPC 8MP 2.8-12mm OUTLET,UNIVIEW,"55,00","55,00","55,00",21,9,0,0,0,0,0,9
IPC-HDW2849TMP-S-IL-0280B,,IPC 8MP Dual Light 2.8mm ,DAHUA,"124,12","170,03","195,54",21,0,0,0,0,0,3,3
IPC-HDBW5842RP-ASE-0280B-S3,,IPC 8MP IR 2.8mm IK10 Dom,DAHUA,"161,27","161,27","161,27",21,22,0,0,0,0,0,22
IPC-HDW2841TMP-S-0280B,,IPC 8MP IR Fixed-focal Ey,DAHUA,"88,50","88,50","88,50",21,75,0,0,0,0,0,75
IPC-HFW2841TP-ZAS-27135,,IPC 8MP IR Vari-focal Bul,DAHUA,"135,70","135,70","135,70",21,25,0,0,0,0,2,27
IPC-HDBW2841RP-ZAS-27135,,IPC 8MP IR Vari-focal Dom,DAHUA,"135,70","135,70","135,70",21,1,0,0,0,0,1,2
CY-IPC-4K-FZPRO,,IPC Bullet 4K IR 2.8-12mm,CYGNUS,"115,00","139,00","149,00",21,30,30,0,0,0,0,60
CY-IPC-4K-FZS,,IPC Cygnus Bullet 4K 8mpx,CYGNUS,"385,03","501,05","598,88",21,4,10,0,0,0,0,14
CY-IPC-4K-FWS,,IPC Cygnus Bullet IR 4K 8,CYGNUS,"170,83","222,31","266,49",21,0,0,0,0,0,0,0
CY-IPC-4K-DZS-A,,IPC Cygnus Domo IR 4K 8Mp,CYGNUS,"372,27","484,44","579,03",21,2,2,0,0,0,9,13
IPC-8M-FWI,,Mini Fixed Bullet Network,CYGNUS,"65,00","75,00","85,00",21,0,4,0,0,0,0,4
IPC-8M-FA-ZERO-0400,,Zero 8MP Bullet 4mm Mic,CYGNUS,"97,00","127,00","145,00",21,413,39,0,0,0,10,462
IPC-8M-DA-ZERO-0280,,Zero 8MP Eyeball 2.8m Mic,CYGNUS,"97,00","126,00","145,00",21,220,0,0,0,0,11,231
IPC-8M-DA-ZERO-0400,,Zero 8MP eyeball 4mm Mic,CYGNUS,"107,00","142,00","165,00",21,148,10,0,0,0,10,168
,,,,,,,,,,,,,,
IP CAMARAS,,DAHUA 2-3MPX,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
IPC-HUM4001P,,1MP PinHole 3.6,DAHUA,"23,60","23,60","23,60",21,0,0,2,0,0,0,2
IPC-HDW1239T1P-LED-0280B-S5-QH2,,2 MP Entry Full-color IPC,DAHUA,"31,74","31,74","31,74",21,0,0,0,0,0,5,5
IPC-HFW1230S1P-0360B-S6,,2 MP Entry IR 3.6mm Bulle,DAHUA,"25,96","25,96","25,96",21,0,0,0,21,0,0,21
IPC-HFW1230S1P-0360B-S5-QH2,,2 MP Entry IR Fixed-Focal,DAHUA,"26,55","26,55","26,55",21,0,0,2,0,0,2,4
IPC-HDW1230T1P-0360B-S6,,2 MP IR 3.6mm Eyeball IPC,DAHUA,"34,85","45,26","52,05",21,2,0,0,0,0,1,3
IPC-HDW1230T1P-A-0280B-S5-QH2,,2MP 2.8mm Eyeball IPC Dah,DAHUA,"31,86","31,86","31,86",21,0,0,7,0,1,0,8
IPC-HDW1239T1P-A-LED-0280B-S5-QH2,,2MP 2.8mm Full-color Eyeb,DAHUA,"36,58","36,58","36,58",21,540,20,0,44,0,30,634
IPC-2M-FZI10-A,,2MP Bullet Camera Lighthu,CYGNUS,"250,00","320,00","390,00",21,1,0,0,0,0,0,1
IPC-HFW1239TC1P-SA-IL-0280B-S6,,2MP Dual Light 2.8mm Bull,DAHUA,"40,18","52,18","60,00",21,0,0,0,0,0,17,17
IPC-HDW1239VP-SA-IL-0280B-S6,,2MP Dual Light Eyeball IP,DAHUA,"40,18","52,18","60,00",21,0,0,0,0,0,0,0
IPC-HFW1239S1P-LED-0280B-S6,,2MP Entry Full-color Fixe,DAHUA,"38,81","50,40","57,96",21,0,0,0,44,0,0,44
