,,,,,,,,,,,,,,
TERMICAS,,HIK PTZ,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
HM-TD5537T-15-W,,Bi-spectrum Thermograp15 ,HIKVISION,"5090,00","8197,00","10247,00",21,0,0,0,0,0,0,0
DS-2TD4228-10-S2,,PTZ optico + termico 25mm,HIKVISION,"1480,00","2384,00","2980,00",21,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
TERMICAS,,TEMP CORPORAL,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
JQ-D70Z,,Calibrador de temperatura,DAHUA,"23,60","23,60","23,60",21,36,0,0,0,0,0,36
,,,,,,,,,,,,,,
TERMICAS,,DAHUA TERMICAS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
TPC-BF2241-TB3F4-DW-S2,,Camara Bullet Termica hib,DAHUA,"629,33","629,33","629,33",21,1,0,0,0,0,0,1
TPC-BF2241-B3F4-DW-S2,,Camara Termica Bullet Hib,DAHUA,"806,00","1104,11","1269,73",21,1,0,0,0,0,0,1
